id	Name	Category
117	internet_address_survey_it21e-20080717	Address Space Allocation Data
118	lander_sample-20080903	IP Packet Headers
119	internet_address_survey_it22e-20080911	Address Space Allocation Data
120	internet_address_survey_it20e-20080317	Address Space Allocation Data
121	DITL_I2-20080317	IP Packet Headers
122	internet_address_survey_reprobing_it20w-20080411	Address Space Allocation Data
123	NCCDC 2008	Synthetically Generated Data
124	internet_address_survey_reprobing_it21w-20080617	Address Space Allocation Data
125	internet_address_survey_it22c-20080911	Address Space Allocation Data
126	internet_address_survey_it22w-20080911	Address Space Allocation Data
127	internet_address_hitlist_it37w-20101124	Address Space Allocation Data
128	internet_address_survey_reprobing_it22w-20080912	Address Space Allocation Data
129	classify_internet_address_blocks-20080912	Address Space Allocation Data
130	usc_lander_tcp_syns-20081010	IP Packet Headers
131	Two-Days-in-2008 Telescope Dataset	Blackhole Address Space Data
132	Three Days Of Conficker Dataset	Blackhole Address Space Data
133	internet_address_hitlist_it38w-20110112	Address Space Allocation Data
134	internet_address_survey_it23e-20081125	Address Space Allocation Data
135	internet_address_survey_it23w-20081125	Address Space Allocation Data
136	internet_address_survey_reprobing_it23w-20081125	Address Space Allocation Data
137	internet_address_survey_it23c-20081125	Address Space Allocation Data
138	internet_address_survey_reprobing_it24w-20090203	Address Space Allocation Data
139	internet_address_survey_it24c-20090203	Address Space Allocation Data
140	internet_address_survey_it24w-20090203	Address Space Allocation Data
141	internet_address_hitlist_it39w-20110220	Address Space Allocation Data
142	internet_address_hitlist_it40w-20110406	Address Space Allocation Data
143	internet_address_survey_it25c-20090319	Address Space Allocation Data
144	internet_address_survey_it25w-20090319	Address Space Allocation Data
145	internet_address_survey_reprobing_it25w-20090319	Address Space Allocation Data
146	internet_address_hitlist_it41w-20110520	Address Space Allocation Data
147	internet_address_survey_it26w-20090527	Address Space Allocation Data
148	internet_address_survey_it26c-20090527	Address Space Allocation Data
149	internet_address_survey_reprobing_it26w-20090527	Address Space Allocation Data
150	long_flows_D1_2_days-20090605	Traffic Flow Data
151	long_flows_D1_2_days-anonymized-20090605	Traffic Flow Data
152	iperf_emulated_attacks-20090621	IP Packet Headers
153	internet_address_survey_it27c-20090727	Address Space Allocation Data
154	internet_address_survey_it27w-20090727	Address Space Allocation Data
155	internet_address_survey_reprobing_it27w-20090727	Address Space Allocation Data
156	internet_address_hitlist_it42w-20110726	Address Space Allocation Data
157	internet_address_history_it43w-20110913	Address Space Allocation Data
158	internet_address_hitlist_it43w-20110913	Address Space Allocation Data
159	internet_address_survey_it28w-20090914	Address Space Allocation Data
160	internet_address_survey_reprobing_it28w-20090914	Address Space Allocation Data
161	internet_address_survey_it28c-20090914	Address Space Allocation Data
162	internet_address_survey_reprobing_it28c-20090928	Address Space Allocation Data
163	internet_address_census_standing_c-20091102	Address Space Allocation Data
164	internet_address_census_standing_j-20091102	Address Space Allocation Data
165	internet_address_census_standing_w-20091102	Address Space Allocation Data
166	internet_address_hitlist_standing_w-20091102	Address Space Allocation Data
167	internet_address_hitlist_it44w-20111102	Address Space Allocation Data
168	internet_address_census_it29c-20091102	Address Space Allocation Data
169	internet_address_census_it29w-20091102	Address Space Allocation Data
170	ITDK 2010-01	Internet Topology Data
171	internet_address_census_it30c-20091223	Address Space Allocation Data
172	internet_address_census_it30w-20091223	Address Space Allocation Data
173	internet_address_history_it45w-20120102	Address Space Allocation Data
174	internet_address_hitlist_it45w-20120102	Address Space Allocation Data
175	internet_address_history_it44w-20111102	Address Space Allocation Data
176	internet_address_survey_reprobing_it29w-20091102	Address Space Allocation Data
177	Skaion 2009 DARPA Dataset	Synthetically Generated Data
178	internet_address_survey_reprobing_it29w-20091103	Address Space Allocation Data
179	internet_address_survey_reprobing_it29c-20091117	Address Space Allocation Data
180	internet_outage_survey_it30w-20091223	Internet Topology Data
181	internet_address_survey_reprobing_it30w-20091223	Address Space Allocation Data
182	Darknet 191/8	Blackhole Address Space Data
183	internet_address_survey_reprobing_it30c-20100106	Address Space Allocation Data
184	internet_address_history_it46w-20120309	Address Space Allocation Data
185	internet_address_hitlist_it46w-20120309	Address Space Allocation Data
186	internet_adddress_census_it31w-20100208	Address Space Allocation Data
187	internet_address_census_it31c-20100208	Address Space Allocation Data
188	internet_address_census_it31w-20100208	Address Space Allocation Data
189	internet_address_survey_reprobing_it31w-20100208	Address Space Allocation Data
190	long_flows_D8_2_weeks-20100221	Traffic Flow Data
191	long_flows_D8_2_weeks-anonymized-20100221	Traffic Flow Data
192	Darknet 1/8	Blackhole Address Space Data
193	internet_address_survey_reprobing_it31c-20100226	Address Space Allocation Data
194	Darknet 50/8	Blackhole Address Space Data
195	ITDK 2010-04	Internet Topology Data
196	Darknet 107/8	Blackhole Address Space Data
197	internet_address_census_it32c-20100329	Address Space Allocation Data
198	internet_address_census_it32w-20100329	Address Space Allocation Data
199	internet_address_history_it47w-20120427	Address Space Allocation Data
200	internet_address_hitlist_it47w-20120427	Address Space Allocation Data
201	internet_address_survey_reprobing_it32w-20100329	Address Space Allocation Data
202	internet_address_survey_reprobing_it32c-20100413	Address Space Allocation Data
203	Darknet 14/8	Blackhole Address Space Data
204	Darknet 223/8	Blackhole Address Space Data
205	internet_address_census_it33c-20100514	Address Space Allocation Data
206	internet_address_census_it33w-20100514	Address Space Allocation Data
207	internet_address_history_it48w-20120615	Address Space Allocation Data
208	internet_address_hitlist_it48w-20120615	Address Space Allocation Data
209	internet_address_survey_reprobing_it33w-20100514	Address Space Allocation Data
210	Darknet 181/8	Blackhole Address Space Data
211	internet_address_census_it34c-20100707	Address Space Allocation Data
212	internet_address_census_it34w-20100707	Address Space Allocation Data
213	internet_address_hitlist_it49w-20120731	Address Space Allocation Data
214	internet_address_history_it49w-20120731	Address Space Allocation Data
215	classify_internet_address_blocks-20100521	Address Space Allocation Data
216	Darknet 31/8	Blackhole Address Space Data
217	Darknet 176/8	Blackhole Address Space Data
218	Kraken Botnet Sinkhole Connection Data	Sinkhole Data
219	internet_address_survey_reprobing_it33c-20100601	Address Space Allocation Data
220	internet_address_survey_reprobing_it34w-20100707	Address Space Allocation Data
221	ITDK 2010-07	Internet Topology Data
222	Darknet 177/8	Blackhole Address Space Data
223	internet_address_survey_reprobing_it34c-20100728	Address Space Allocation Data
224	Darknet 49/8	Blackhole Address Space Data
225	Darknet 101/8	Blackhole Address Space Data
226	internet_address_census_it35c-20100818	Address Space Allocation Data
227	internet_address_history_it50w-20120926	Address Space Allocation Data
228	internet_address_hitlist_it50w-20120926	Address Space Allocation Data
229	internet_address_census_it35w-20100818	Address Space Allocation Data
230	internet_address_survey_reprobing_it35w-20100818	Address Space Allocation Data
231	internet_address_survey_reprobing_it35c-20100902	Address Space Allocation Data
232	internet_address_history_it51w-20121116	Address Space Allocation Data
233	internet_address_hitlist_it51w-20121116	Address Space Allocation Data
234	internet_address_census_it36c-20101005	Address Space Allocation Data
235	internet_address_census_it36w-20101005	Address Space Allocation Data
236	internet_address_survey_reprobing_it36w-20101005	Address Space Allocation Data
237	as_to_org_mapping_subsidiary_linkage-20101019	Internet Topology Data
238	as_to_org_mapping-20101019	Internet Topology Data
239	internet_address_survey_reprobing_it36c-20101019	Address Space Allocation Data
240	Darknet 36/8	Blackhole Address Space Data
241	Darknet 42/8	Blackhole Address Space Data
242	internet_address_history_it52w-20130102	Address Space Allocation Data
243	internet_address_hitlist_it52w-20130102	Address Space Allocation Data
